# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-08-19 18:16:52 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 15266110 KENAI R BL SKILAK LK OUTLET NR STERLING AK
# -----------------------------------------------------------------------------------
#
# Data provided for site 15266110
#            TS   parameter     Description
#          1491       00065     Gage height, feet
#          1492       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	1491_00065	1491_00065_cd	1492_00060	1492_00060_cd
USGS	15266110	2018-05-04 16:15	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 16:30	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 16:45	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 17:00	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 17:15	AKDT	6.74	A	1450	A
USGS	15266110	2018-05-04 17:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 17:45	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 18:00	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 18:15	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 18:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 18:45	AKDT	6.74	A	1450	A
USGS	15266110	2018-05-04 19:00	AKDT	6.74	A	1450	A
USGS	15266110	2018-05-04 19:15	AKDT	6.74	A	1450	A
USGS	15266110	2018-05-04 19:30	AKDT	6.73	A	1440	A
USGS	15266110	2018-05-04 19:45	AKDT	6.72	A	1430	A
USGS	15266110	2018-05-04 20:00	AKDT	6.74	A	1450	A
USGS	15266110	2018-05-04 20:15	AKDT	6.74	A	1450	A
USGS	15266110	2018-05-04 20:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 20:45	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 21:00	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 21:15	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 21:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-04 21:45	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 22:00	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 22:15	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-04 22:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-04 22:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-04 23:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-04 23:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-04 23:30	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-04 23:45	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 00:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 00:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 00:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 00:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 01:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 01:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 01:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 01:45	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 02:00	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 02:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 02:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 02:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 03:00	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-05 03:15	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-05 03:30	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-05 03:45	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-05 04:00	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-05 04:15	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-05 04:30	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-05 04:45	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 05:00	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 05:15	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 05:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 05:45	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 06:00	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 06:15	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 06:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 06:45	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 07:00	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 07:15	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 07:30	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-05 07:45	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 08:00	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 08:15	AKDT	6.76	A	1480	A
USGS	15266110	2018-05-05 08:30	AKDT	6.75	A	1470	A
USGS	15266110	2018-05-05 08:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 09:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 09:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 09:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 09:45	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 10:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 10:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 10:30	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 10:45	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 11:00	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 11:15	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 11:30	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 11:45	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 12:00	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 12:15	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 12:30	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 12:45	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 13:00	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 13:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 13:30	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 13:45	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 14:00	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 14:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 14:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 14:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 15:00	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 15:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 15:30	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 15:45	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 16:00	AKDT	6.80	A	1540	A
USGS	15266110	2018-05-05 16:15	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 16:30	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 16:45	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-05 17:00	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 17:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 17:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 17:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 18:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 18:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 18:30	AKDT	6.76	A	1490	A
USGS	15266110	2018-05-05 18:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 19:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 19:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 19:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 19:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 20:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 20:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 20:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 20:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 21:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 21:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 21:30	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 21:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 22:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 22:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 22:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 22:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-05 23:00	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 23:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 23:30	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-05 23:45	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-06 00:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 00:15	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-06 00:30	AKDT	6.78	A	1510	A
USGS	15266110	2018-05-06 00:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 01:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 01:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 01:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 01:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 02:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 02:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 02:30	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 02:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 03:00	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 03:15	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 03:30	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 03:45	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 04:00	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 04:15	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 04:30	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 04:45	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 05:00	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 05:15	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 05:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 05:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 06:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 06:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 06:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 06:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 07:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 07:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 07:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 07:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 08:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 08:15	AKDT	6.76	A	1490	A
USGS	15266110	2018-05-06 08:30	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 08:45	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 09:00	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 09:15	AKDT	6.77	A	1500	A
USGS	15266110	2018-05-06 09:30	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 09:45	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 10:00	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 10:15	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 10:30	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 10:45	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 11:00	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 11:15	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 11:30	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 11:45	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 12:00	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 12:15	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 12:30	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 12:45	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 13:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 13:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 13:30	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-06 13:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 14:00	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-06 14:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 14:30	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-06 14:45	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-06 15:00	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-06 15:15	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-06 15:30	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-06 15:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 16:00	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-06 16:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 16:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 16:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 17:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 17:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 17:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 17:45	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 18:00	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 18:15	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 18:30	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 18:45	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 19:00	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 19:15	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 19:30	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 19:45	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 20:00	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 20:15	AKDT	6.78	A	1520	A
USGS	15266110	2018-05-06 20:30	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 20:45	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 21:00	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 21:15	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 21:30	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 21:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 22:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 22:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 22:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 22:45	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-06 23:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 23:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 23:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-06 23:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 00:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 00:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 00:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 00:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 01:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 01:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 01:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 01:45	AKDT	6.79	A	1530	A
USGS	15266110	2018-05-07 02:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 02:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 02:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 02:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 03:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 03:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 03:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 03:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 04:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 04:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 04:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 04:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 05:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 05:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 05:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 05:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 06:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 06:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 06:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 06:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 07:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 07:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 07:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 07:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 08:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 08:15	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 08:30	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 08:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 09:00	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 09:15	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-07 09:30	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-07 09:45	AKDT	6.80	A	1550	A
USGS	15266110	2018-05-07 10:00	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-07 10:15	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-07 10:30	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-07 10:45	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-07 11:00	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-07 11:15	AKDT	6.81	A	1560	A
USGS	15266110	2018-05-07 11:30	AKDT	6.84	A	1610	A
USGS	15266110	2018-05-07 11:45	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 12:00	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 12:15	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 12:30	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 12:45	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 13:00	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 13:15	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 13:30	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 13:45	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 14:00	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 14:15	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 14:30	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 14:45	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 15:00	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 15:15	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 15:30	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 15:45	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 16:00	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 16:15	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 16:30	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 16:45	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 17:00	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 17:15	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 17:30	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 17:45	AKDT	6.82	A	1580	A
USGS	15266110	2018-05-07 18:00	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 18:15	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 18:30	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 18:45	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 19:00	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 19:15	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 19:30	AKDT	6.83	A	1590	A
USGS	15266110	2018-05-07 19:45	AKDT	6.83	A	1590	A
